event_id,japones,es_final,estado
31200000,？？？？,???,oficial
31200000,？？？？,???,oficial
31200000,？？？？,???,oficial
31200000,？？？？,???,oficial
31200000,？？？？,???,oficial
31200000,？？？？,???,oficial
31200000,特訓が終わったら　宿舎に戻ろう！,¡Vuelve al albergue cuando termines!,oficial
32010010,向こうがさわがしいぞ？行ってみよう！,¿Qué pasa ahí? ¡Ve a averiguarlo!,oficial
32010040,？？？？,???,oficial
32010100,？？？？,???,oficial
32010100,？？？？,???,oficial
32010100,？？？？,???,oficial
32010100,？？？？,???,oficial
32010100,？？？？,???,oficial
32010100,？？？？,???,oficial
32010100,？？？？,???,oficial
32010100,？？？？,???,oficial
32010100,？？？？,???,oficial
32010100,？？？？,???,oficial
32010100,風丸たちと合流だ！スポーツショップへ！,¡Reúnete con los demás en Balón Bazar!,oficial
32010200,？？？？,???,revisar
32010200,大変だ！！少年を助けよう！,,sin_pareja
32010300,？？？？,???,revisar
32010300,？？？？,???,revisar
32010300,？？？？,???,revisar
32010300,？？？？,V0105a04.SAD,oficial
32010300,？？？？,???,revisar
32010300,？？？？,???,revisar
32010300,？？？？,???,revisar
32010300,？？？？,???,revisar
32010300,響木監督が呼んでる！グラウンドへ急ごう！,,sin_pareja
32010400,久しぶりの再会！みんなに声をかけよう！,,sin_pareja
32010500,？？？？,???,revisar
32010500,？？？？,???,revisar
32010500,響木監督はまだか？アキに聞いてみよう！,¿Y el entrenador Hillman? ¡Pregúntale a Silvia!,memoria
32010510,響木監督はまだか？アキに聞いてみよう！,¿Y el entrenador Hillman? ¡Pregúntale a Silvia!,memoria
32010520,響木監督はまだか？アキに聞いてみよう！,¿Y el entrenador Hillman? ¡Pregúntale a Silvia!,memoria
32010530,響木監督はまだか？アキに聞いてみよう！,¿Y el entrenador Hillman? ¡Pregúntale a Silvia!,oficial
32010540,響木監督はまだか？アキに聞いてみよう！,¿Y el entrenador Hillman? ¡Pregúntale a Silvia!,memoria
32010550,響木監督はまだか？アキに聞いてみよう！,¿Y el entrenador Hillman? ¡Pregúntale a Silvia!,memoria
32010600,メガネ？,¿Willy?,revisar
32010600,響木監督はまだか？アキに聞いてみよう！,¿Y el entrenador Hillman? ¡Pregúntale a Silvia!,memoria
32010700,？？？？,???,revisar
32010700,？？？？,???,revisar
32010700,謎の少女…？声をかけてみよう！,,sin_pareja
32010800,新しいユニフォーム！！合宿所へ行こう！,¡Ve a la residencia a por los uniformes!,revisar
32010950,鬼道は１人で雷雷軒に…？心配だな…,¿Jude ha ido al Rai Rai? ¡Vamos a buscarlo!,revisar
32011050,？？？？,???,revisar
32011050,？？？？,???,revisar
32011050,？？？？,???,revisar
32011050,？？？？,???,revisar
32011050,？？？？,???,revisar
32011050,ミスターＫ,Mr. D,oficial
32011050,特訓だ！！雷門グラウンドへ行こう！,¡Ve al campo del Raimon para entrenar!,oficial
32011050,特訓だ！！河川敷へ行こう！,¡Ve a la ribera del río para entrenar!,oficial
32011150,特訓だ！！雷門グラウンドへ行こう！,¡Ve al campo del Raimon para entrenar!,oficial
32011150,特訓だ！！河川敷へ行こう！,¡Ve a la ribera del río para entrenar!,oficial
32011200,特訓だ！準備ができたらアキに声をかけよう！,,sin_pareja
32011250,特訓だ！準備ができたら春奈に声をかけよう！,,sin_pareja
32011300,鬼道チームを偵察だ！！河川敷へ行こう！,,sin_pareja
32011350,円堂たちの様子を見に　グラウンドへ行こう！,,sin_pareja
32011400,？？？？,???,revisar
32011400,夏未が留学…！？空港へ急げ！！,,sin_pareja
32011450,？？？？,???,revisar
32011450,夏未が留学…！？空港へ急げ！！,,sin_pareja
32011500,ついに代表選考試合だ！！グラウンドへ！,¡Ve al campo del Raimon a jugar el partido!,revisar
32011600,？？？？,???,revisar
32011600,なつかしい顔ぶれ！！声をかけてみよう！,,sin_pareja
32011700,グラウンドで　響木の選考を待とう…,¡Espera a que Hillman tome una decisión!,revisar
32011800,ふぶき,Shawn,oficial
32011800,こぐれ,Scotty,oficial
32011800,みどりかわ,Jordan,oficial
32011800,？？？？,???,oficial
32011800,？？？？,???,oficial
32011800,？？？？,???,oficial
32011800,？？？？,???,oficial
32020100,特訓開始！グラウンドへ行こう！,¡Baja al campo del Raimon a entrenar!,revisar
32020150,特訓開始！グラウンドへ行こう！,¡Baja al campo del Raimon a entrenar!,revisar
32020200,準備ができたら　アキに話しかけよう！,,sin_pareja
32020350,２人があやしい！！あとをつけてみよう！,,sin_pareja
32020400,久遠の記録をさがしに　サッカー協会へ！,,sin_pareja
32020500,久遠のデータはどこ？早くさがさなきゃ！,¡Encuentra la información sobre Travis!,revisar
32020550,知らない外国の人…？雷門中へ戻ろう！,,sin_pareja
32020600,？？？？,???,revisar
32020600,？？？？,???,revisar
32020600,？？？？,???,revisar
32020600,？？？？,???,revisar
32020600,？？？？,???,revisar
32020600,？？？？,???,revisar
32020600,今日はもう休む？アキに声をかけよう！,¡Habla con Silvia cuando hayáis acabado!,revisar
32020700,女の子がさがしている？裏山へ行こう！,¡Ve al cerro Arcano a buscar a las chicas!,oficial
32020750,？？？？,???,oficial
32020750,？？？？,???,oficial
32020750,？？？？,???,oficial
32020750,？？？？,???,oficial
32020750,？？？？,???,oficial
32020800,練習試合だ！塔子に声をかけよう！,¡Habla con Tori para jugar el partido!,revisar
32020900,練習試合終了！塔子に声をかけよう！,Vuelve a hablar con Victoria.,oficial
32021000,抽選会！サッカー協会へ出発だ！,¡Ve a la sede para presenciar el sorteo!,oficial
32021100,さあ特訓だ！グラウンドへ戻ろう！,,sin_pareja
32021200,準備ができたら　冬花に話しかけよう,,sin_pareja
32021300,いったい何が？声がした方へ行ってみよう！,,sin_pareja
32021400,合宿所からは出られない…個室に戻ろう,,sin_pareja
32021500,これがねっけつ特訓！さあレッツトライ！,,sin_pareja
32021600,世界一に！！さあ特訓だ！！,,sin_pareja
32021700,グラウンドの古株に声をかけて試合会場へ！,,sin_pareja
